 approach_a , approach_b 
4136307.358,3941644.695
179183.1379,0
175089.9595,0
455996.4491,0
595553.79,0
458341.6357,0
1479357.181,0
466997.0932,0
1152105.653,0
596228.276,0
1620382.108,0
564141.2209,0
408053.5632,0
427497.4592,0
261325.8273,3094372.842
909468.939,0
366488.0721,0
0,0
552956.0123,0
0,0
52954.04573,0
157517.7729,0
263591.2035,0
1489414.484,0
2278420.41,10644869.91
994256.6821,0
1517643.86,0
308637.567,0
654599.4998,0
941076.4966,0
0,0
1269453.755,0
754977.2208,0
547148.9415,0
363269.8567,0
608563.7958,7793340.429
184706.2302,0
960612.4389,10748224.25
920846.6202,0
0,0
0,0
693703.592,0
1068291.208,0
1238943.325,2541579.708
345876.4421,0
0,0
1194493.89,0
405557.6057,0
382527.1227,0
435997.0547,0
437407.4859,0
740038.3542,5695403.453
348643.1176,4253367.154
473910.5533,0
1613261.223,0
732103.2868,0
878277.4389,3722296.553
240859.737,2629668.561
1193285.337,0
264224.3426,0
519833.5905,0
433678.9318,0
2761605.354,0
1151898.48,0
0,0
1923593.089,5363148.662
604747.2069,6511432.569
0,0
356553.9867,0
2235367.203,0
223465.874,0
1078913.662,0
209308.9104,11289262.72
1296574.567,0
219041.9953,0
588415.0357,11270885.14
230636.7389,0
1766151.545,0
432026.1925,0
2092535.34,8283192.252
48306.41036,0
405871.4895,0
177097.5546,0
1056758.051,0
1385993.309,0
272995.0465,0
703891.9868,0
648718.8419,0
0,3527440.406
277835.0809,0
336066.8635,0
378944.2192,0
1152409.691,0
0,0
640856.579,0
241845.6201,0
884457.2025,0
156883.626,0
152829.7264,7823760.879
1741191.965,0
555171.1554,0
1205321.332,7687922.865
828900.6229,0
1505337.706,0
629892.3221,0
2733973.124,0
0,9364419.881
2292693.283,7353002.479
661585.6818,0
164902.4571,6821288.629
642523.2478,0
1026953.687,0
1918268.199,0
744146.8842,0
739285.5447,0
661281.0177,0
303068.9685,0
404959.9618,5186163.324
182499.5679,0
1445611.72,0
279193.2352,0
450437.3443,0
0,0
594949.9068,0
417260.0669,0
561010.3246,0
272059.7228,1229117.627
2548712.366,10719124.38
0,0
211716.2181,0
208663.1476,0
577791.4102,0
283116.4654,0
705527.5529,0
0,0
55010.81616,6511491.49
265748.0493,0
282211.8944,7311140.694
377784.4812,3613917.762
276870.4103,3356635.289
575016.8312,0
1437036.873,0
0,7841222.482
130849.1963,0
133819.17,0
1291432.737,0
685568.533,0
269222.972,10520075.57
1724753.645,0
1207588.885,11610018.9
1642334.959,0
638874.5202,0
124692.325,4220400.371
312973.2893,0
0,0
0,0
173147.9037,15512888.27
172224.2449,0
962157.2209,0
2096960.522,0
193414.0278,0
818445.654,0
478120.4523,0
689222.1217,0
1430594.403,0
168317.1807,0
1576669.287,0
277041.8769,0
196083.5724,2239726.299
0,9540086.872
262859.6739,0
181047.0975,0
0,0
100527.9588,6202174.725
356319.0375,0
0,0
107932.7108,1388398.737
1073305.416,0
0,0
0,0
268820.0885,0
456563.8211,7575041.466
795973.336,0
623810.3591,6303260.068
1608100.958,6339795.998
263262.2089,4406800.847
904326.8364,0
291315.7802,0
376847.9421,0
1284342.939,0
1594613.965,0
1193291.233,0
832512.2301,0
1831325.616,0
742728.8929,9090271.221
727026.3701,4758391.038
487630.1164,0
238750.1235,0
532696.7307,0
1027807.306,5371536.014
393377.3667,0
495849.6243,0
478228.0729,0
458529.9979,0
2077406.211,0
1045149.482,0
447123.3046,4729641.666
1718706.541,3983316.836
410154.6723,689368.6213
1417747.962,8280040.481
0,0
342286.3241,0
553386.3118,0
1135175.943,0
953748.3073,0
314163.4488,0
733431.3304,0
2076823.019,0
0,0
736606.4785,0
0,7838124.069
982469.2226,0
950245.3405,0
320704.9368,0
551444.0714,0
447655.8632,0
1038167.798,0
1063469.179,3557160.465
295671.0747,0
254077.5897,0
272936.9725,0
643829.6214,0
0,4735461.99
465608.7785,0
264335.1678,0
578266.786,5086651.309
401418.2349,0
653903.869,8050466.464
487180.495,2528695.624
0,0
339833.6384,0
905183.4438,0
139925.3002,0
199660.5195,7756373.493
310786.0254,2548543.169
0,11517141.54
433428.3784,6253694.848
1770018.607,0
207883.6797,0
600063.8382,0
579618.444,0
1211240.654,0
0,0
1365032.853,0
593550.8194,4607455.994
742261.8017,0
790776.0971,0
236978.6916,0
1025296.179,1888377.934
403501.9923,0
318233.2289,0
297735.2991,0
0,0
1913952.657,0
0,8297581.253
1334726.79,0
1213197.576,0
333438.0603,0
3072766.836,0
448116.4812,0
999668.6629,0
1313282.824,3993749.476
0,0
373204.5571,0
152948.9938,0
0,0
1056316.31,0
0,0
1956322.48,12211014.65
366968.9947,0
1107532.252,0
601266.6511,0
2173278.575,0
0,0
436966.0118,0
1239281.853,0
0,5834876.221
648450.3972,0
1724772.768,3138923.258
558726.349,0
1478340.981,0
718770.1679,0
1382849.126,0
866530.1539,0
967397.9085,4032175.901
0,0
0,0
